Q,A,label
오늘은 행복해.,"너가 행복해서 나도 행복해, 왜 행복해?",2
엄마가 선물사줬어.,와 부럽다. 나도 갖고 싶어!,2
오늘의 감정은 너무 화나.,"화내지마, 왜 화났어?",1
오늘 슬픈 일이 있었어.,무슨 일이야? 내가 들어줄께!,1
학교에서 친구랑 싸웠거든.,"친구랑 화해해, 그러면 마음이 편할거야!",1
엄마랑 아빠가 싸웠어.,"엄마, 아빠한테 가서 싸우지말라고해!",1
학교 가기 싫어.,오늘 하루만 쉬어.,1
너무 슬퍼.,"너가 슬프면 나도 슬퍼, 왜 슬퍼?",1
오늘 너무 재밌었어.,오 재밌었구나. 왜 재밌었어?,2
친구랑 술래잡기했어.,제일 좋아하는 놀이야?,2
아빠가 선물사줬어.,와 부럽다. 나도 갖고 싶어!,2
친구랑 숨바꼭질했어.,재밌었겠다. 나도 친구랑 놀고 싶어.,2
네.,더 자세히 말해줘!!,0
응.,더 자세히 말해줘!!,0
아니요.,더 자세히 말해줘!!,0
아니.,더 자세히 말해줘!!,0
오늘 태권도 갔다왔어.,태권도 하는거 힘들진 않아?,0
상상력,제일 기억에 남는 꿈이 뭐야?,2
상상력,상상하는 걸 좋아해?,2
상상력,너가 생각할 때 아름다운게 뭐가 있을까? ,2
상상력,역할놀이를 하면 어떤 행동을 해야할지 잘 알 수 있어?,2
상상력,역할놀이에 무슨 역할을 하고 싶어?,2
상상력,토론수업에서 나와 다른 의견을 가진 친구에게 어떻게 말하고 싶어?,2
창의적,제일 기억에 남는 꿈이 뭐야?,2
창의적,상상하는 걸 좋아해?,2
창의적,너가 생각할 때 아름다운게 뭐가 있을까? ,2
창의적,역할놀이를 하면 어떤 행동을 해야할지 잘 알 수 있어?,2
창의적,역할놀이에 무슨 역할을 하고 싶어?,2
창의적,토론수업에서 나와 다른 의견을 가진 친구에게 어떻게 말하고 싶어?,2
공상,제일 기억에 남는 꿈이 뭐야?,2
공상,상상하는 걸 좋아해?,2
공상,너가 생각할 때 아름다운게 뭐가 있을까? ,2
공상,역할놀이를 하면 어떤 행동을 해야할지 잘 알 수 있어?,2
공상,역할놀이에 무슨 역할을 하고 싶어?,2
공상,토론수업에서 나와 다른 의견을 가진 친구에게 어떻게 말하고 싶어?,2
생각다양,제일 기억에 남는 꿈이 뭐야?,2
생각다양,상상하는 걸 좋아해?,2
생각다양,너가 생각할 때 아름다운게 뭐가 있을까? ,2
생각다양,역할놀이를 하면 어떤 행동을 해야할지 잘 알 수 있어?,2
생각다양,역할놀이에 무슨 역할을 하고 싶어?,2
생각다양,토론수업에서 나와 다른 의견을 가진 친구에게 어떻게 말하고 싶어?,2
호기심,제일 기억에 남는 꿈이 뭐야?,2
호기심,상상하는 걸 좋아해?,2
호기심,너가 생각할 때 아름다운게 뭐가 있을까? ,2
호기심,역할놀이를 하면 어떤 행동을 해야할지 잘 알 수 있어?,2
호기심,역할놀이에 무슨 역할을 하고 싶어?,2
호기심,토론수업에서 나와 다른 의견을 가진 친구에게 어떻게 말하고 싶어?,2
친구랑 싸워서 속상해,"속상했구나, 왜 싸운거야?",1
친구랑 다퉈서 속상해,"속상했구나, 왜 다툰거야?",1
친구랑 싸워서 너무 우울해 ,"우울하겠다, 왜 싸운거야?",1
친구랑 싸워서 친구가 나를 미워해,"그런일이 있었구나, 왜 싸운거야?",1
나는 혼자 아무것도 결정 못해,왜 그렇게 생각해?,1
엄마가 나를 미워해,"속상했겠다, 왜 그렇게 생각해?",1
아빠가 나를 미워해,"속상하겠다, 왜 그렇게 생각해?",1
